"time","$cse55","Axle.stabar.stabar_deflection.phi","left_linear_actuator.position.s_ref","left_wheel_kin_telemetry.Fx","left_wheel_kin_telemetry.Fy","left_wheel_kin_telemetry.caster","left_wheel_kin_telemetry.gamma","left_wheel_kin_telemetry.kpi","left_wheel_kin_telemetry.mech_scrub","left_wheel_kin_telemetry.mech_trail","left_wheel_kin_telemetry.toe","right_linear_actuator.position.s_ref","right_wheel_kin_telemetry.Fx","right_wheel_kin_telemetry.Fy","right_wheel_kin_telemetry.caster","right_wheel_kin_telemetry.gamma","right_wheel_kin_telemetry.jacking","right_wheel_kin_telemetry.kpi","right_wheel_kin_telemetry.mech_scrub","right_wheel_kin_telemetry.mech_trail","right_wheel_kin_telemetry.spring_length","right_wheel_kin_telemetry.toe","left_wheel_kin_telemetry.jacking","left_wheel_kin_telemetry.jounce","left_wheel_kin_telemetry.roll","left_wheel_kin_telemetry.spring_length","left_wheel_kin_telemetry.stabar_angle","right_wheel_kin_telemetry.jounce","right_wheel_kin_telemetry.roll","right_wheel_kin_telemetry.stabar_angle"
0,0,0,0,0,0,-0.002275956240889471,0,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0,0,0,0,-0.002275956240889471,0,-2315.762643289823,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0.2470000027292781,0,-2315.762643289823,0,-0,0.2470000027292781,0,0,-0,0
0,0,0,0,0,0,-0.002275956240889471,0,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0,0,0,0,-0.002275956240889471,0,-2315.762643289823,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0.2470000027292781,0,-2315.762643289823,0,-0,0.2470000027292781,0,0,-0,0
7.705371326649801e-10,0,0,0,0,0,-0.002275956240889471,3.053386243875624e-19,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,3.382280728012659e-20,0,0,0,-0.002275956240889471,-3.053377277952438e-19,-2315.536760506894,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0.2470000027292781,-3.382280307477059e-20,-2315.536760506894,0,-0,0.2470000027292781,0,0,-0,0
2.31161139799494e-09,0,0,0,0,0,-0.002275956240889471,1.696003761881914e-18,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,1.837884487245146e-19,0,0,0,-0.002275956240889471,-1.695993771777294e-18,-2315.085049359861,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0.2470000027292781,-1.837884014711815e-19,-2315.085049359861,0,-0,0.2470000027292781,0,0,-0,0
5.393759928654861e-09,0,5.170887211987184e-16,0,0,0,-0.002275956240889471,8.689800098648729e-18,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,8.988776272179185e-19,0,0,0,-0.002275956240889471,-8.689647271039285e-18,-2314.181900596082,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0.2470000027293443,-8.988769143500656e-19,-2314.181900596082,0,-0,0.2470000027293443,5.170887211987184e-16,0,-0,5.170887211987184e-16
1.15580569899747e-08,0,9.033837871364722e-27,0,0,0,-0.002275956240889471,4.309092262949737e-17,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,3.93032069782732e-18,0,0,0,-0.002275956240889471,-4.308735968536837e-17,-2312.376643876639,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0.2470000027296671,-3.93030415577998e-18,-2312.376643876639,0,-0,0.2470000027296671,9.033837871364722e-27,0,-0,9.033837871364722e-27
2.388665111261439e-08,0,5.819341614566289e-15,0,0,0,-0.002275956240889471,2.229360760283411e-16,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,1.67258244984941e-17,0,0,0,-0.002275956240889471,-2.228737135684208e-16,-2308.770420905634,0.2720323315945871,-0.004132598421052625,-0.005354662873399807,0.2470000027308614,-1.672553035617655e-17,-2308.770420905634,0,-0,0.2470000027308614,5.819341614566289e-15,0,-0,5.819341614566289e-15
4.854383935789375e-08,0,4.821642975355156e-14,0,0,0,-0.002275956240889472,1.256119787670729e-15,0.2720323315945885,-0.004132598421052625,-0.005354662873399585,7.028437033869652e-17,0,0,0,-0.002275956240889472,-1.25508384230172e-15,-2301.575077666629,0.2720323315945885,-0.004132598421052625,-0.005354662873399585,0.2470000027358578,-7.027946476601242e-17,-2301.575077666629,0,-0,0.2470000027358578,4.821642975355156e-14,0,-0,4.821642975355156e-14
9.785821584845248e-08,0,5.947875821894637e-13,0,0,0,-0.002275956240893207,7.849379406539669e-15,0.2720323315945952,-0.004132598421052736,-0.005354662873399807,2.978827091389633e-16,0,0,0,-0.002275956240893207,-7.832546798580739e-15,-2287.252582614589,0.2720323315945952,-0.004132598421052736,-0.005354662873399807,0.2470000027558517,-2.978030886457381e-16,-2287.252582614589,0,-0,0.2470000027558517,5.947875821894637e-13,0,-0,5.947875821894637e-13
1.964869688295699e-07,0,4.754117893616622e-12,0,0,0,-0.002275956240909401,5.37370474380647e-14,0.2720323315946406,-0.004132598421052625,-0.005354662873399807,1.30159346480515e-15,0,0,0,-0.002275956240909401,-5.346715706435853e-14,-2258.877730055444,0.2720323315946406,-0.004132598421052736,-0.005354662873399807,0.2470000028356849,-1.300322740716768e-15,-2258.877730055444,0,-0,0.2470000028356849,4.754117893616622e-12,0,-0,4.754117893616622e-12
3.937444747918048e-07,0,3.758433527908977e-11,0,0,0,-0.002275956241025263,3.920318573688871e-13,0.2720323315949795,-0.00413259842105318,-0.005354662873399807,6.020300009165721e-15,0,0,0,-0.002275956241024017,-3.877583159734366e-13,-2203.187988028987,0.2720323315949751,-0.004132598421053291,-0.005354662873399807,0.2470000031512027,-6.000380632734561e-15,-2203.187988028987,0,-0,0.2470000031512027,3.758433527908977e-11,0,-0,3.758433527908977e-11
7.882594867162747e-07,0,2.915710836977784e-10,0,0,0,-0.002275956241861294,2.963975550292159e-12,0.2720323315975516,-0.004132598421057176,-0.005354662873400029,3.019428022685055e-14,0,0,0,-0.002275956241841356,-2.897489171786739e-12,-2095.889267979676,0.2720323315974851,-0.004132598421057176,-0.005354662873400029,0.2470000043790125,-2.989066961300109e-14,-2095.889267979676,0,-0,0.2470000043790125,2.915710836977784e-10,0,-0,2.915710836977784e-10
1.182774498640745e-06,0,9.071115757755866e-10,0,0,0,-0.002275956243862358,9.228832453211276e-12,0.2720323316038177,-0.004132598421067279,-0.005354662873400251,7.877908544296612e-14,0,0,0,-0.002275956243775136,-8.951381727855759e-12,-1993.831970770472,0.2720323316035403,-0.004132598421066724,-0.005354662873400251,0.2470000063691727,-7.752736850424925e-14,-1993.831970770472,0,-0,0.2470000063691727,9.071115757755866e-10,0,-0,9.071115757755866e-10
1.577289510565214e-06,0,2.029175032320399e-09,0,0,0,-0.002275956247518171,2.078779316171764e-11,0.2720323316153783,-0.004132598421085598,-0.005354662873400917,1.580156209337019e-13,0,0,0,-0.002275956247280168,-2.001418156543735e-11,-1896.747462812841,0.2720323316146046,-0.004132598421084266,-0.005354662873400473,0.2470000090768861,-1.545652244779259e-13,-1896.747462812841,0,-0,0.2470000090768861,2.029175032320399e-09,0,-0,2.029175032320399e-09
1.971804522489684e-06,0,3.794830582096471e-09,0,0,0,-0.002275956253327165,3.925736181999309e-11,0.2720323316338509,-0.004132598421114797,-0.005354662873401361,2.737741549080762e-13,0,0,0,-0.002275956252792595,-3.752140016011283e-11,-1804.372155997841,0.2720323316321148,-0.004132598421112132,-0.005354662873401139,0.247000012458317,-2.661196906606331e-13,-1804.372155997841,0,-0,0.247000012458317,3.794830582096471e-09,0,-0,3.794830582096471e-09
2.760834546338624e-06,0,9.696855698685384e-09,0,0,0,-0.002275956273179133,1.027037575782318e-10,0.2720323316973087,-0.004132598421215494,-0.005354662873403804,6.33345859744672e-13,0,0,0,-0.002275956271347396,-9.67661870601584e-11,-1632.848273601179,0.2720323316913699,-0.004132598421206168,-0.005354662873403582,0.2470000210931728,-6.077849527944012e-13,-1632.848273601179,0,-0,0.2470000210931728,9.696855698685384e-09,0,-0,9.696855698685384e-09
3.549864570187564e-06,0,1.95021865872423e-08,0,0,0,-0.002275956307187691,2.118457692469236e-10,0.2720323318064696,-0.0041325984213888,-0.005354662873407356,1.194253906109994e-12,0,0,0,-0.002275956302572208,-1.968818186623099e-10,-1477.383105872386,0.2720323317915029,-0.004132598421365041,-0.005354662873406912,0.2470000319635754,-1.13127952395506e-12,-1477.383105872386,0,-0,0.2470000319635754,1.95021865872423e-08,0,-0,1.95021865872423e-08
4.338894594036503e-06,0,3.397233411260814e-08,0,0,0,-0.002275956359135969,3.789988350876099e-10,0.272032331973651,-0.004132598421654365,-0.00535466287341313,1.986009717558478e-12,0,0,0,-0.002275956349416546,-3.474923123302296e-10,-1336.200364718217,0.272032331942139,-0.004132598421604294,-0.005354662873411797,0.2470000447778894,-1.856500023748249e-12,-1336.200364718217,0,-0,0.2470000447778894,3.397233411260814e-08,0,-0,3.397233411260814e-08
5.127924617885443e-06,0,5.365855289488791e-08,0,0,0,-0.002275956432540434,6.156081991333743e-10,0.2720323322103009,-0.004132598422030398,-0.005354662873420457,3.02630936309346e-12,0,0,0,-0.00227595641440623,-5.568186828450194e-10,-1207.777339176623,0.2720323321515017,-0.004132598421937028,-0.005354662873418681,0.2470000592884775,-2.790759855853444e-12,-1207.777339176623,0,-0,0.2470000592884775,5.365855289488791e-08,0,-0,5.365855289488791e-08
5.916954641734382e-06,0,7.892417372020198e-08,0,0,0,-0.002275956530601046,9.320865000072556e-10,0.2720323325268338,-0.004132598422533995,-0.005354662873429783,4.321239843321293e-12,0,0,0,-0.002275956499639689,-8.317056820361858e-10,-1090.841461506755,0.2720323324264359,-0.004132598422374345,-0.00535466287342734,0.2470000752906633,-3.930165165449064e-12,-1090.841461506755,0,-0,0.2470000752906633,7.892417372020198e-08,0,-0,7.892417372020198e-08
7.078555342676132e-06,0,1.267857475902491e-07,0,0,0,-0.002275956726073501,1.56362785789079e-09,0.2720323331584854,-0.004132598423539746,-0.005354662873447991,6.682850463212495e-12,0,0,0,-0.002275956665771954,-1.36814743047445e-09,-937.2729707895043,0.2720323329629706,-0.004132598423228662,-0.00535466287344244,0.2470001011935175,-5.955608197224581e-12,-937.2729707895043,0,-0,0.2470001011935175,1.267857475902491e-07,0,-0,1.267857475902491e-07
8.240156043617881e-06,0,1.877980391543661e-07,0,0,0,-0.002275956990454201,2.418588101391164e-09,0.2720323340135938,-0.004132598424902878,-0.005354662873470861,9.553303542388364e-12,0,0,0,-0.002275956884953611,-2.076607569796972e-09,-803.0166722961674,0.2720323336715538,-0.004132598424358314,-0.005354662873461757,0.2470001294436499,-8.343109278175698e-12,-803.0166722961674,0,-0,0.2470001294436499,1.877980391543661e-07,0,-0,1.877980391543661e-07
9.40175674455963e-06,0,2.621647642115944e-07,0,0,0,-0.002275957332104398,3.524156545571168e-09,0.2720323351193557,-0.004132598426667466,-0.005354662873499283,1.286306633036935e-11,0,0,0,-0.002275957161634477,-2.971615265708884e-09,-685.3514963967264,0.2720323345667187,-0.004132598425787171,-0.005354662873484406,0.2470001596169843,-1.101048680208817e-11,-685.3514963967264,0,-0,0.2470001596169843,2.621647642115944e-07,0,-0,2.621647642115944e-07
1.056335744550138e-05,0,3.498323345471972e-07,0,0,0,-0.002275957758860735,4.905813132363795e-09,0.2720323365012554,-0.004132598428875256,-0.005354662873532812,1.651230242493182e-11,0,0,0,-0.00227595749965254,-4.065704765444754e-09,-581.9236174115965,0.2720323356610002,-0.004132598427535883,-0.005354662873510607,0.2470001913521579,-1.385389771822466e-11,-581.9236174115965,0,-0,0.2470001913521579,3.498323345471972e-07,0,-0,3.498323345471972e-07
1.172495814644313e-05,0,4.505158515504171e-07,0,0,0,-0.002275958277880749,6.586841944873928e-09,0.2720323381825802,-0.00413259843156466,-0.005354662873570559,2.036823848799985e-11,0,0,0,-0.002275957902197818,-5.369306292490772e-09,-490.7697093774946,0.272032336964832,-0.004132598429621992,-0.005354662873539473,0.2470002243535246,-1.674852419069645e-11,-490.7697093774946,0,-0,0.2470002243535246,4.505158515504171e-07,0,-0,4.505158515504171e-07
1.404815954832663e-05,0,6.890864210052144e-07,0,0,0,-0.002275959618761268,1.093170410353365e-08,0.2720323425282127,-0.004132598438527646,-0.005354662873659377,2.803168335155304e-11,0,0,0,-0.002275958911423282,-8.639575623542533e-09,-338.7769455952855,0.272032340235682,-0.00413259843486502,-0.005354662873604976,0.2470002931968445,-2.211416812287983e-11,-338.7769455952855,0,-0,0.2470002931968445,6.890864210052144e-07,0,-0,6.890864210052144e-07
1.59749942449789e-05,0,9.215747207775988e-07,0,0,0,-0.002275961064222628,1.561728872215882e-08,0.2720323472146353,-0.00413259844605296,-0.005354662873743088,3.336712448682937e-11,0,0,0,-0.002275959964478357,-1.205386869749846e-08,-237.4829959062415,0.2720323436505871,-0.004132598440352075,-0.005354662873663152,0.2470003523323346,-2.535629132634967e-11,-237.4829959062415,0,-0,0.2470003523323346,9.215747207775988e-07,0,-0,9.215747207775988e-07
1.790182894163117e-05,0,1.181901177187507e-06,0,0,0,-0.002275962836385955,2.136347795519961e-08,0.2720323529618588,-0.004132598455299896,-0.005354662873832128,3.658810562537602e-11,0,0,0,-0.002275961221022009,-1.612973285873718e-08,-153.9385832533242,0.272032347727187,-0.004132598446916491,-0.005354662873721994,0.2470004126769193,-2.661188741946345e-11,-153.9385832533242,0,-0,0.2470004126769193,1.181901177187507e-06,0,-0,1.181901177187507e-06
1.982866363828344e-05,0,1.466700856410512e-06,0,0,0,-0.002275964955123905,2.823495851801856e-08,0.2720323598345852,-0.004132598466380366,-0.005354662873921612,3.641979473579557e-11,0,0,0,-0.002275962686760266,-2.088601919480865e-08,-84.64499888363503,0.2720323524843385,-0.004132598454593572,-0.005354662873777949,0.2470004737746061,-2.498533996338291e-11,-84.64499888363503,0,-0,0.2470004737746061,1.466700856410512e-06,0,-0,1.466700856410512e-06
2.175549833493572e-05,0,1.77266810271673e-06,0,0,0,-0.00227596743775469,3.628816045559368e-08,0.2720323678892578,-0.00413259847939329,-0.005354662874007099,3.1447627989532e-11,0,0,0,-0.002275964366325039,-2.633809795667199e-08,-26.79666607290665,0.2720323579374174,-0.004132598463413739,-0.005354662873827021,0.2470005352756273,-1.953058027448136e-11,-26.79666607290665,0,-0,0.2470005352756273,1.77266810271673e-06,0,-0,1.77266810271673e-06
2.368233303158799e-05,0,2.096544810619106e-06,0,0,0,-0.002275970299189106,4.557173070384653e-08,0.2720323771745357,-0.004132598494425821,-0.005354662874082594,2.012547400206753e-11,0,0,0,-0.002275966263322704,-3.249800874283961e-08,21.75176076367006,0.2720323640984666,-0.004132598473401528,-0.005354662873865434,0.2470005969315734,-9.252974050509617e-12,21.75176076367006,0,-0,0.2470005969315734,2.096544810619106e-06,0,-0,2.096544810619106e-06
2.622512040431104e-05,0,2.546115366274326e-06,0,0,0,-0.002275974676563874,5.977621603958051e-08,0.2720323913816566,-0.004132598517483932,-0.005354662874155647,-7.367085461106681e-12,0,0,0,-0.002275969104275013,-4.172646164226961e-08,74.32908262159094,0.2720323733286409,-0.004132598488405637,-0.00535466287389319,0.2470006782455916,1.344966349972711e-11,74.32908262159094,0,-0,0.2470006782455916,2.546115366274326e-06,0,-0,2.546115366274326e-06
2.87679077770341e-05,0,3.014905610753256e-06,0,0,0,-0.002275979760328836,7.627623046326289e-08,0.2720324078847635,-0.004132598544345445,-0.005354662874184735,-5.292574829477976e-11,0,0,0,-0.002275972333996115,-5.222189051147053e-08,116.4429004203762,0.2720323838260487,-0.004132598505522722,-0.005354662873885196,0.2470007592544036,4.88237967196893e-11,116.4429004203762,0,-0,0.2470007592544036,3.014905610753256e-06,0,-0,3.014905610753256e-06
3.131069514975715e-05,0,3.497123436847348e-06,0,0,0,-0.00227598557019389,9.513664864690885e-08,0.272032426748752,-0.004132598575140034,-0.005354662874152094,-1.209346093290952e-10,0,0,0,-0.002275975956582463,-6.399848164530857e-08,150.2238899293529,0.2720323956048845,-0.004132598524790532,-0.005354662873831018,0.2470008397834825,9.9422856169074e-11,150.2238899293529,0,-0,0.2470008397834825,3.497123436847348e-06,0,-0,3.497123436847348e-06
3.385348252248021e-05,0,3.987777350341906e-06,0,0,0,-0.002275992121937631,1.164097218199502e-07,0.2720324480258927,-0.004132598609977833,-0.005354662874039517,-2.160181333665774e-10,0,0,0,-0.002275979975493779,-7.706838094030658e-08,177.3407582924444,0.2720324086773028,-0.004132598546242816,-0.005354662873720217,0.2470009197119759,1.67873028749333e-10,177.3407582924444,0,-0,0.2470009197119759,3.987777350341906e-06,0,-0,3.987777350341906e-06
3.639626989520326e-05,0,4.482611855485013e-06,0,0,0,-0.002275999427887104,1.401366469178654e-07,0.2720324717574018,-0.004132598648952879,-0.005354662873826799,-3.430159810269774e-10,0,0,0,-0.002275984393666457,-9.144208014722029e-08,199.0884119627822,0.2720324230538004,-0.004132598569911661,-0.005354662873541249,0.2470009989604219,2.56868980279113e-10,199.0884119627822,0,-0,0.2470009989604219,4.482611855485013e-06,0,-0,4.482611855485013e-06
3.893905726792632e-05,0,4.978014826116342e-06,0,0,0,-0.002276007497580704,1.663496936427076e-07,0.2720324979755653,-0.004132598692145439,-0.005354662873494398,-5.069517297347e-10,0,0,0,-0.002275989213676796,-1.071289307305787e-07,216.5042430830654,0.2720324387437401,-0.004132598595827819,-0.005354662873284122,0.2470010774747223,3.691679810238056e-10,216.5042430830654,0,-0,0.2470010774747223,4.978014826116342e-06,0,-0,4.978014826116342e-06
4.148184464064937e-05,0,5.470961229463616e-06,0,0,0,-0.002276016337997464,1.950729738878737e-07,0.2720325267045105,-0.004132598739623794,-0.005354662873021443,-7.130197753329318e-10,0,0,0,-0.002275994437759693,-1.241372153696103e-07,230.3909247787753,0.2720324557554111,-0.004132598624020489,-0.005354662872936178,0.2470011552238357,5.075886982965795e-10,230.3909247787753,0,-0,0.2470011552238357,5.470961229463616e-06,0,-0,5.470961229463616e-06
4.402463201337243e-05,0,5.958906600930921e-06,0,0,0,-0.002276025954114047,2.263242188226711e-07,0.2720325579619851,-0.004132598791446451,-0.005354662872385285,-9.665571514816212e-10,0,0,0,-0.002276000067899602,-1.424744346867278e-07,241.38902675487,0.2720324740963208,-0.00413259865451765,-0.005354662872485649,0.2470012321908318,6.750073240741297e-10,241.38902675487,0,-0,0.2470012321908318,5.958906600930921e-06,0,-0,5.958906600930921e-06
4.656741938609548e-05,0,6.43976730930792e-06,0,0,0,-0.002276036349046791,2.601152429687062e-07,0.2720325917598181,-0.004132598847663371,-0.005354662871564164,-1.273036079523995e-09,0,0,0,-0.0022760061058704,-1.621474217405558e-07,250.0029216959583,0.2720324937733111,-0.004132598687346722,-0.00535466287192099,0.2470013083693136,8.743558562315859e-10,250.0029216959583,0,-0,0.2470013083693136,6.43976730930792e-06,0,-0,6.43976730930792e-06
4.911020675881854e-05,0,6.911807727658066e-06,0,0,0,-0.002276047524575058,2.964536276323582e-07,0.2720326281056026,-0.004132598908318186,-0.005354662870534543,-1.638036470189401e-09,0,0,0,-0.002276012553295216,-1.831625606526196e-07,256.6598593387735,0.2720325147927726,-0.004132598722534908,-0.005354662871229765,0.2470013837567155,1.108618455563437e-09,256.6598593387735,0,-0,0.2470013837567155,6.911807727658066e-06,0,-0,6.911807727658066e-06
5.165299413154159e-05,0,7.373690227350127e-06,0,0,0,-0.002276059480940616,3.353420702004164e-07,0.2720326670020511,-0.004132598973447199,-0.00535466286927333,-2.067256361082633e-09,0,0,0,-0.002276019411638934,-2.055257312885424e-07,261.692479622111,0.2720325371605956,-0.004132598760108852,-0.00535466287039954,0.2470014583559296,1.380832177062486e-09,261.692479622111,0,-0,0.2470014583559296,7.373690227350127e-06,0,-0,7.373690227350127e-06
5.419578150426465e-05,0,7.824289764137716e-06,0,0,0,-0.002276072217570344,3.767806939923271e-07,0.2720327084492986,-0.004132599043082941,-0.005354662867756765,-2.566471567468844e-09,0,0,0,-0.002276026682246836,-2.292424648367757e-07,265.3944448681909,0.2720325608823149,-0.004132598800094089,-0.005354662869417437,0.2470015321707436,1.694082604458078e-09,265.3944448681909,0,-0,0.2470015321707436,7.824289764137716e-06,0,-0,7.824289764137716e-06
5.67385688769877e-05,0,8.262794976171259e-06,0,0,0,-0.002276085732671275,4.207657715118763e-07,0.2720327524436298,-0.004132599117252389,-0.00535466286595998,-3.141557771459845e-09,0,0,0,-0.002276034366329629,-2.543178478251816e-07,267.9884129763543,0.2720325859630294,-0.004132598842517043,-0.005354662868270799,0.2470016052085921,2.051506009476961e-09,267.9884129763543,0,-0,0.2470016052085921,8.262794976171259e-06,0,-0,8.262794976171259e-06
5.928135624971076e-05,0,8.688586699210436e-06,0,0,0,-0.002276100023707817,4.672912195064877e-07,0.2720327989789741,-0.004132599195979192,-0.005354662863858994,-3.798463748682323e-09,0,0,0,-0.00227604246497966,-2.807566164757502e-07,269.6607695461043,0.2720326124074791,-0.004132598887402805,-0.005354662866946747,0.2470016774778394,2.456286175677676e-09,269.6607695461043,0,-0,0.2470016774778394,8.688586699210436e-06,0,-0,8.688586699210436e-06
6.182414362243381e-05,0,9.101235062253807e-06,0,0,0,-0.002276115087408002,5.163486573605396e-07,0.2720328480469628,-0.004132599279283666,-0.005354662861428494,-4.543210112005883e-09,0,0,0,-0.002276050979178393,-3.085631697296008e-07,270.5646088421167,0.2720326402200744,-0.004132598934776799,-0.005354662865431514,0.2470017489873814,2.911653955491973e-09,270.5646088421167,0,-0,0.2470017489873814,9.101235062253807e-06,0,-0,9.101235062253807e-06
6.690971836787992e-05,0,9.885917637369121e-06,0,0,0,-0.002276147517567048,6.220191849946674e-07,0.2720329537406004,-0.004132599459696129,-0.005354662855477699,-6.3205705811445e-09,0,0,0,-0.002276069257670587,-3.682956989933599e-07,270.5965744118312,0.2720326999657972,-0.004132599037088625,-0.005354662861774218,0.2470018897616803,3.987296594621874e-09,270.5965744118312,0,-0,0.2470018897616803,9.885917637369121e-06,0,-0,9.885917637369121e-06
7.199529311332603e-05,0,1.06157330407406e-05,0,0,0,-0.002276182987602742,7.376807526833619e-07,0.2720330694280334,-0.004132599658609903,-0.005354662847903091,-8.522896166843869e-09,0,0,0,-0.002276089207668054,-4.335443472856216e-07,268.9188786358834,0.2720327652291727,-0.004132599149648586,-0.00535466285718833,0.2470020276028331,5.305164848223672e-09,268.9188786358834,0,-0,0.2470020276028331,1.06157330407406e-05,0,-0,1.06157330407406e-05
7.708086785877214e-05,0,1.129106495198691e-05,0,0,0,-0.002276221455695782,8.632169690018365e-07,0.2720331949929595,-0.004132599876117471,-0.005354662838496616,-1.12002108365278e-08,0,0,0,-0.002276110833432789,-5.043329950068087e-07,266.0944939368592,0.2720328360341466,-0.004132599272649085,-0.005354662851562164,0.2470021625843403,6.892669280224087e-09,266.0944939368592,0,-0,0.2470021625843403,1.129106495198691e-05,0,-0,1.129106495198691e-05
8.216644260421825e-05,0,1.191311916070003e-05,0,0,0,-0.002276262876130615,9.984991189433898e-07,0.2720333303067506,-0.004132600112293661,-0.00535466282704733,-1.440311650774254e-08,0,0,0,-0.002276134137710373,-5.806806904080297e-07,262.5314761377504,0.2720329123998323,-0.004132599406277748,-0.005354662844779812,0.2470022947787595,8.777856392204734e-09,262.5314761377504,0,-0,0.2470022947787595,1.191311916070003e-05,0,-0,1.191311916070003e-05
8.725201734966436e-05,0,1.248359848717152e-05,0,0,0,-0.00227630720048403,1.143389775094379e-06,0.2720334752320696,-0.004132600367203199,-0.005354662813342959,-1.818267141958317e-08,0,0,0,-0.002276159121777314,-6.626017676043945e-07,258.5364058734308,0.2720329943406304,-0.004132599550718541,-0.005354662836722257,0.2470024242568087,1.098937086547253e-08,258.5364058734308,0,-0,0.2470024242568087,1.248359848717152e-05,0,-0,1.248359848717152e-05
9.233759209511047e-05,0,1.300462115033093e-05,0,0,0,-0.002276354377927906,1.297743701188677e-06,0.272033629623766,-0.004132600640899486,-0.005354662797168563,-2.259032041974045e-08,0,0,0,-0.002276185785472155,-7.501059032180466e-07,254.3236266036092,0.2720330818662851,-0.004132599706150986,-0.005354662827269374,0.2470025510879503,1.355642371711501e-08,254.3236266036092,0,-0,0.2470025510879503,1.300462115033093e-05,0,-0,1.300462115033093e-05
0.0001025087415860027,0,1.390796877922648e-05,0,0,0,-0.002276457080193428,1.634231414100082e-06,0.2720339661966935,-0.00413260124482917,-0.005354662756546835,-3.349697928428516e-08,0,0,0,-0.002276244144183931,-9.418794185166899e-07,245.7752024466281,0.2720332736884949,-0.004132600050686608,-0.005354662803686239,0.2470027970814661,1.987653620872534e-08,245.7752024466281,0,-0,0.2470027970814661,1.390796877922648e-05,0,-0,1.390796877922648e-05
0.0001116627761278057,0,1.457717292201136e-05,0,0,0,-0.002276558727780378,1.967868393445076e-06,0.2720342999218639,-0.004132601853010454,-0.005354662709367908,-4.598211278958624e-08,0,0,0,-0.002276302381601991,-1.133574449787577e-06,238.2957500983998,0.2720334654341713,-0.004132600400071684,-0.005354662776436703,0.24700301009195,2.708392816446843e-08,238.2957500983998,0,-0,0.24700301009195,1.457717292201136e-05,0,-0,1.457717292201136e-05
0.0001208168106696087,0,1.512553741172245e-05,0,0,0,-0.002276668767593842,2.32969454265309e-06,0.2720346618476205,-0.004132602522612605,-0.005354662650811637,-6.131144082056493e-08,0,0,0,-0.002276365996697607,-1.343305378262535e-06,231.2252815080703,0.2720336752226149,-0.004132600787661755,-0.005354662742699023,0.2470032155397898,3.591965026932667e-08,231.2252815080703,0,-0,0.2470032155397898,1.512553741172245e-05,0,-0,1.512553741172245e-05
0.0001299708452114117,0,1.556675506750908e-05,0,0,0,-0.002276786869044654,2.718735159163435e-06,0.2720350509997587,-0.004132603253771183,-0.005354662579611702,-7.978859428751439e-08,0,0,0,-0.002276434939687107,-1.570965722561136e-06,224.6492548631932,0.2720339029477403,-0.004132601214336895,-0.005354662701699597,0.247003413771944,4.657031745840472e-08,224.6492548631932,0,-0,0.247003413771944,1.556675506750908e-05,0,-0,1.556675506750908e-05
0.0001391248797532147,0,1.591350980018423e-05,0,0,0,-0.00227691270039913,3.134004829670264e-06,0.2720354663933594,-0.004132604046597654,-0.005354662494508444,-1.017153094069556e-07,0,0,0,-0.002276509151318957,-1.816415904494297e-06,218.6281711632889,0.2720341484703658,-0.004132601680936987,-0.005354662652658826,0.2470036051234693,5.92246807635533e-08,218.6281711632889,0,-0,0.2470036051234693,1.591350980018423e-05,0,-0,1.591350980018423e-05
