"time","$cse55","Axle.stabar.stabar_deflection.phi","left_linear_actuator.position.s_ref","left_wheel_kin_telemetry.Fx","left_wheel_kin_telemetry.Fy","left_wheel_kin_telemetry.caster","left_wheel_kin_telemetry.gamma","left_wheel_kin_telemetry.kpi","left_wheel_kin_telemetry.mech_scrub","left_wheel_kin_telemetry.mech_trail","left_wheel_kin_telemetry.toe","right_linear_actuator.position.s_ref","right_wheel_kin_telemetry.Fx","right_wheel_kin_telemetry.Fy","right_wheel_kin_telemetry.caster","right_wheel_kin_telemetry.gamma","right_wheel_kin_telemetry.jacking","right_wheel_kin_telemetry.kpi","right_wheel_kin_telemetry.mech_scrub","right_wheel_kin_telemetry.mech_trail","right_wheel_kin_telemetry.spring_length","right_wheel_kin_telemetry.toe","left_wheel_kin_telemetry.jacking","left_wheel_kin_telemetry.jounce","left_wheel_kin_telemetry.roll","left_wheel_kin_telemetry.spring_length","left_wheel_kin_telemetry.stabar_angle","right_wheel_kin_telemetry.jounce","right_wheel_kin_telemetry.roll","right_wheel_kin_telemetry.stabar_angle"
0,0,0,0,0,0,0.03915367252700562,0.0174532925199433,0.2024621006375249,0.02658359095760243,0.005075690425847925,0,0,0,0,0.03915367252700562,-0.0174532925199433,159.8010091908173,0.2024621006375249,0.02658359095760243,0.005075690425847925,0.1794299997334737,0,159.8010091908173,0,-0,0.1794299997334737,0,0,-0,0
0,0,0,0,0,0,0.03915367252700562,0.0174532925199433,0.2024621006375249,0.02658359095760243,0.005075690425847925,0,0,0,0,0.03915367252700562,-0.0174532925199433,159.8010091908173,0.2024621006375249,0.02658359095760243,0.005075690425847925,0.1794299997334737,0,159.8010091908173,0,-0,0.1794299997334737,0,0,-0,0
4.096187674433614e-07,0,0,0,0,0,0.03915367252747787,0.01745329252095942,0.2024621006385405,0.02658359095760809,0.005075690425844209,-1.032367144459758e-13,0,0,0,0.03915367252747787,-0.01745329252095942,160.0166511150707,0.2024621006385405,0.02658359095760809,0.005075690425844209,0.1794299997356481,1.032367144475203e-13,160.0166511150707,0,-0,0.1794299997356481,0,0,-0,0
1.228856302330084e-06,0,1.110907951835747e-27,0,0,0,0.03915367252953178,0.01745329252539868,0.2024621006429772,0.02658359095763263,0.005075690425827882,-5.578202608862895e-13,0,0,0,0.03915367252953178,-0.01745329252539868,160.4420914305349,0.2024621006429772,0.02658359095763263,0.005075690425827882,0.1794299997449772,5.578202849755301e-13,160.4420914305349,0,-0,0.1794299997449772,1.110907951835747e-27,0,-0,1.110907951835747e-27
2.86733137210353e-06,0,3.332588279725957e-27,0,0,0,0.03915367253950433,0.01745329254711961,0.2024621006646856,0.02658359095775276,0.005075690425747196,-2.811975778072215e-12,0,0,0,0.03915367253950433,-0.01745329254711961,161.2626649352479,0.2024621006646856,0.02658359095775276,0.005075690425747196,0.179429999789207,2.811975814812313e-12,161.2626649352479,0,-0,0.179429999789207,3.332588279725957e-27,0,-0,3.332588279725957e-27
6.144281511650421e-06,0,7.775948935506379e-27,0,0,0,0.03915367258149773,0.01745329264077778,0.2024621007582662,0.02658359095827434,0.005075690425388382,-1.293362018178313e-11,0,0,0,0.03915367258149773,-0.01745329264077778,162.7994676008353,0.2024621007582662,0.02658359095827434,0.005075690425388382,0.1794299999615185,1.293362034796052e-11,162.7994676008353,0,-0,0.1794299999615185,7.775948935506379e-27,0,-0,7.775948935506379e-27
1.26981817907442e-05,0,-1.887770736140394e-26,0,0,0,0.03915367275725647,0.01745329304690893,0.2024621011639036,0.0265835909605574,0.005075690423759558,-5.95146486072548e-11,0,0,0,0.03915367275725647,-0.01745329304690893,165.4878649037806,0.2024621011639036,0.0265835909605574,0.005075690423759558,0.1794300005942309,5.951464911015586e-11,165.4878649037806,0,-0,0.1794300005942309,-1.887770736140394e-26,0,-0,-1.887770736140394e-26
1.925208206983799e-05,0,1.677113087190268e-25,0,0,0,0.03915367305561786,0.01745329375750552,0.2024621018734041,0.02658359096458296,0.005075690420798441,-1.451244857627216e-10,0,0,0,0.03915367305561785,-0.01745329375750553,167.7231608447051,0.2024621018734041,0.02658359096458307,0.005075690420798441,0.1794300015373636,1.451244827246857e-10,167.7231608447051,0,-0,0.1794300015373636,1.677113087190268e-25,0,-0,1.677113087190268e-25
2.580598234893177e-05,0,6.997716836035533e-26,0,0,0,0.03915367347744234,0.01745329478913047,0.2024621029031389,0.02658359097046781,0.005075690416352599,-2.748462557992669e-10,0,0,0,0.03915367347744234,-0.01745329478913049,169.5764295881952,0.2024621029031389,0.02658359097046781,0.0050756904163526,0.1794300027059402,2.748462419628411e-10,169.5764295881952,0,-0,0.1794300027059402,6.997716836035533e-26,0,-0,6.997716836035533e-26
3.235988262802555e-05,0,-2.775710757409739e-26,0,0,0,0.0391536740232365,0.01745329615525417,0.2024621042664009,0.02658359097830887,0.005075690410286402,-4.532501415227371e-10,0,0,0,0.03915367402323649,-0.01745329615525422,171.1104485687819,0.2024621042664009,0.02658359097830898,0.005075690410286403,0.1794300040288837,4.532501084751145e-10,171.1104485687819,0,-0,0.1794300040288837,-2.775710757409739e-26,0,-0,-2.775710757409739e-26
4.546768318621312e-05,0,-1.521449042298171e-25,0,0,0,0.03915367548720695,0.0174532999242478,0.2024621080262264,0.02658359100011409,0.005075690392895159,-9.697462688137031e-10,0,0,0,0.03915367548720689,-0.01745329992424794,173.4005183274743,0.2024621080262263,0.0265835910001142,0.005075690392895159,0.1794300069534078,9.697461864393176e-10,173.4005183274743,0,-0,0.1794300069534078,-1.521449042298171e-25,0,-0,-1.521449042298171e-25
5.857548374440068e-05,0,1.923336757308501e-15,0,0,0,0.03915367744752192,0.01745330512336177,0.2024621132107006,0.02658359103046215,0.005075690367849527,-1.721421831243118e-09,0,0,0,0.03915367744752184,-0.01745330512336215,174.941152027745,0.2024621132107006,0.02658359103046215,0.005075690367849528,0.1794300099700745,1.721421711499584e-09,174.941152027745,0,-0,0.1794300099700745,1.923336757308501e-15,0,-0,1.923336757308501e-15
7.492626099551031e-05,0,-8.337162293997736e-15,0,0,0,0.0391536805803654,0.01745331363772834,0.202462121697713,0.02658359108061814,0.005075690324928343,-3.023382002633631e-09,0,0,0,0.03915368058036531,-0.01745331363772946,176.2343815117917,0.2024621216977143,0.02658359108061803,0.005075690324928344,0.179430013562297,3.023381833529803e-09,176.2343815117917,0,-0,0.179430013562297,-8.337162293997736e-15,0,-0,-8.337162293997736e-15
8.964196052150897e-05,0,-1.361928642198767e-14,0,0,0,0.03915368404379668,0.01745332319864119,0.2024621312249062,0.02658359113734454,0.005075690274964043,-4.551350595607281e-09,0,0,0,0.0391536840437966,-0.01745332319864341,176.9272014491028,0.2024621312249082,0.02658359113734454,0.005075690274964047,0.1794300166009924,4.551350410730964e-09,176.9272014491028,0,-0,0.1794300166009924,-1.361928642198767e-14,0,-0,-1.361928642198767e-14
0.0001043576600475076,0,-5.89713339056444e-15,0,0,0,0.03915368810064642,0.01745333449270637,0.2024621424760546,0.0265835912047705,0.005075690214019662,-6.42826462912264e-09,0,0,0,0.03915368810064634,-0.01745333449271021,177.3291454535303,0.2024621424760581,0.0265835912047705,0.005075690214019661,0.1794300194310306,6.42826451347451e-09,177.3291454535303,0,-0,0.1794300194310306,-5.89713339056444e-15,0,-0,-5.89713339056444e-15
0.0001190733595735063,0,-7.729665674473264e-16,0,0,0,0.03915369273986695,0.01745334747352446,0.2024621554044557,0.02658359128268384,0.005075690141992066,-8.6597325907009e-09,0,0,0,0.0391536927398669,-0.01745334747353076,177.5223393258869,0.2024621554044619,0.02658359128268373,0.005075690141992065,0.1794300220470834,8.659732617762172e-09,177.5223393258869,0,-0,0.1794300220470834,-7.729665674473264e-16,0,-0,-7.729665674473264e-16
0.000133789059099505,0,8.571158186231895e-15,0,0,0,0.03915369794400631,0.01745336206009339,0.2024621699288416,0.02658359137067834,0.005075690058868662,-1.12492706600109e-08,0,0,0,0.0391536979440063,-0.01745336206010313,177.5796185504188,0.2024621699288512,0.02658359137067834,0.005075690058868643,0.1794300244690036,1.124927095307472e-08,177.5796185504188,0,-0,0.1794300244690036,8.571158186231895e-15,0,-0,8.571158186231895e-15
0.0001632204581515023,0,2.270929807334014e-14,0,0,0,0.03915370998646791,0.01745339575927331,0.2024622034738142,0.02658359157539492,0.005075689859563368,-1.750491295196309e-08,0,0,0,0.03915370998646805,-0.01745339575929411,177.4373336713681,0.2024622034738347,0.02658359157539503,0.005075689859563311,0.1794300288228051,1.750491418921114e-08,177.4373336713681,0,-0,0.1794300288228051,2.270929807334014e-14,0,-0,2.270929807334014e-14
0.0001926518572034996,0,4.389501635860991e-14,0,0,0,0.03915372403307658,0.0174534346504616,0.2024622421699808,0.0265835918139552,0.005075689617207814,-2.518908309256724e-08,0,0,0,0.03915372403307708,-0.01745343465050107,177.2432687278915,0.2024622421700205,0.02658359181395542,0.005075689617207693,0.1794300327644962,2.518908609315942e-08,177.2432687278915,0,-0,0.1794300327644962,4.389501635860991e-14,0,-0,4.389501635860991e-14
0.0002220832562554969,0,9.361545377789515e-14,0,0,0,0.03915373994316874,0.01745347805983536,0.2024622853432824,0.02658359208271399,0.005075689333025982,-3.428115434635604e-08,0,0,0,0.03915373994316975,-0.01745347805990267,177.060644041478,0.2024622853433501,0.02658359208271432,0.005075689333025756,0.1794300364442117,3.428116013159199e-08,177.060644041478,0,-0,0.1794300364442117,9.361545377789515e-14,0,-0,9.361545377789515e-14
0.0002515146553074942,0,1.999890076478666e-13,0,0,0,0.03915375752945839,0.01745352511465795,0.2024623321206965,0.0265835923769473,0.005075689008641997,-4.475291494288545e-08,0,0,0,0.03915375752946015,-0.01745352511476441,176.9377808273716,0.2024623321208034,0.02658359237694785,0.005075689008641625,0.1794300399934932,4.475292484425291e-08,176.9377808273716,0,-0,0.1794300399934932,1.999890076478666e-13,0,-0,1.999890076478666e-13
0.0003103774534114889,0,3.049128727607424e-13,0,0,0,0.03915379658373407,0.01745362521835224,0.2024624315435054,0.0265835930151459,0.005075688248601412,-6.966997138923439e-08,0,0,0,0.03915379658373823,-0.01745362521858931,176.901813876964,0.2024624315437411,0.02658359301514757,0.005075688248600491,0.1794300469740318,6.966999657380155e-08,176.901813876964,0,-0,0.1794300469740318,3.049128727607424e-13,0,-0,3.049128727607424e-13
0.0003633539717050841,0,3.721014477477044e-13,0,0,0,0.03915383541641322,0.01745371925459008,0.202462524821856,0.02658359363063245,0.005075687443416182,-9.651867151415844e-08,0,0,0,0.03915383541641998,-0.01745371925501221,177.0532082030964,0.2024625248222761,0.02658359363063512,0.005075687443414547,0.1794300531014248,9.651871646139877e-08,177.0532082030964,0,-0,0.1794300531014248,3.721014477477044e-13,0,-0,3.721014477477044e-13
0.0004163304899986793,0,-1.37289248550856e-13,0,0,0,0.03915387651190244,0.0174538125029557,0.2024626171732462,0.0265835942606002,0.005075686533065564,-1.273651041929447e-07,0,0,0,0.03915387651192344,-0.01745381250366595,177.2992125830272,0.202462617173952,0.02658359426060475,0.005075686533061669,0.1794300590189632,1.273652228493286e-07,177.2992125830272,0,-0,0.1794300590189632,-1.37289248550856e-13,0,-0,-1.37289248550856e-13
0.0004693070082922745,0,-6.673633235910581e-13,0,0,0,0.0391539188058382,0.01745390143668444,0.2024627050706765,0.02658359488583573,0.005075685526291305,-1.620111399868518e-07,0,0,0,0.03915391880587538,-0.01745390143778403,177.5748663737489,0.2024627050717683,0.02658359488584272,0.005075685526284751,0.1794300646125997,1.620113433063212e-07,177.5748663737489,0,-0,0.1794300646125997,-6.673633235910581e-13,0,-0,-6.673633235910581e-13
0.0005222835265858696,0,-9.987708380060092e-13,0,0,0,0.03915396123101453,0.01745398294115479,0.2024627854010833,0.02658359548913192,0.005075684432655573,-2.002116688772754e-07,0,0,0,0.03915396123106511,-0.01745398294276223,177.828774950423,0.2024627854026809,0.02658359548914202,0.005075684432646591,0.1794300697423971,2.0021194366156e-07,177.828774950423,0,-0,0.1794300697423971,-9.987708380060092e-13,0,-0,-9.987708380060092e-13
