"time","$cse55","Axle.stabar.stabar_deflection.phi","left_linear_actuator.position.s_ref","left_wheel_kin_telemetry.Fx","left_wheel_kin_telemetry.Fy","left_wheel_kin_telemetry.caster","left_wheel_kin_telemetry.gamma","left_wheel_kin_telemetry.kpi","left_wheel_kin_telemetry.mech_scrub","left_wheel_kin_telemetry.mech_trail","left_wheel_kin_telemetry.toe","right_linear_actuator.position.s_ref","right_wheel_kin_telemetry.Fx","right_wheel_kin_telemetry.Fy","right_wheel_kin_telemetry.caster","right_wheel_kin_telemetry.gamma","right_wheel_kin_telemetry.jacking","right_wheel_kin_telemetry.kpi","right_wheel_kin_telemetry.mech_scrub","right_wheel_kin_telemetry.mech_trail","right_wheel_kin_telemetry.spring_length","right_wheel_kin_telemetry.toe","left_wheel_kin_telemetry.jacking","left_wheel_kin_telemetry.jounce","left_wheel_kin_telemetry.roll","left_wheel_kin_telemetry.spring_length","left_wheel_kin_telemetry.stabar_angle","right_wheel_kin_telemetry.jounce","right_wheel_kin_telemetry.roll","right_wheel_kin_telemetry.stabar_angle"
0,0,0,0,0,0,0.07965954197015658,0.0174532925199433,0.1354025888610287,0.03053579754904789,0.01246214639142163,0,0,0,0,0.07965954197015657,-0.0174532925199433,160.2904045001649,0.1354025888610287,0.03053579754904789,0.01246214639142162,0.1794299997334737,0,160.2904045001649,0,-0,0.1794299997334737,0,0,-0,0
0,0,0,0,0,0,0.07965954197015658,0.0174532925199433,0.1354025888610287,0.03053579754904789,0.01246214639142163,0,0,0,0,0.07965954197015657,-0.0174532925199433,160.2904045001648,0.1354025888610287,0.03053579754904789,0.01246214639142162,0.1794299997334737,0,160.2904045001648,0,-0,0.1794299997334737,0,0,-0,0
3.935578068806595e-07,0,4.22207783886121e-33,0,0,0,0.07965954197059215,0.01745329252081831,0.1354025888618976,0.03053579754905256,0.01246214639141576,-1.354331069548386e-13,0,0,0,0.07965954197059213,-0.01745329252081831,160.5084386878278,0.1354025888618976,0.03053579754905256,0.01246214639141576,0.1794299997355023,1.3543310693409e-13,160.5084386878278,0,-0,0.1794299997355023,4.22207783886121e-33,0,-0,4.22207783886121e-33
1.180673420641978e-06,0,-2.12277118042538e-32,0,0,0,0.07965954197248637,0.01745329252463952,0.1354025888656908,0.03053579754907276,0.01246214639139007,-7.294378237508691e-13,0,0,0,0.07965954197248636,-0.01745329252463952,160.938408683209,0.1354025888656907,0.03053579754907276,0.01246214639139007,0.1794299997442031,7.294378235328677e-13,160.938408683209,0,-0,0.1794299997442031,-2.12277118042538e-32,0,-0,-2.12277118042538e-32
2.754904648164616e-06,0,-1.060212364113138e-31,0,0,0,0.07965954198168276,0.01745329254332336,0.1354025888842374,0.03053579754917246,0.01246214639126373,-3.655363293757445e-12,0,0,0,0.07965954198168279,-0.01745329254332336,161.7667346791722,0.1354025888842374,0.03053579754917246,0.01246214639126374,0.179429999785438,3.655363293357485e-12,161.7667346791722,0,-0,0.179429999785438,-1.060212364113138e-31,0,-0,-1.060212364113138e-31
5.903367103209892e-06,0,-2.417143403046596e-31,0,0,0,0.07965954202039988,0.01745329262371731,0.1354025889640073,0.030535797549606,0.01246214639071042,-1.653415691936427e-11,0,0,0,0.07965954202039988,-0.01745329262371731,163.3147877317199,0.1354025889640073,0.030535797549606,0.01246214639071042,0.1794299999458739,1.653415692349541e-11,163.3147877317199,0,-0,0.1794299999458739,-2.417143403046596e-31,0,-0,-2.417143403046596e-31
1.220029201330044e-05,0,1.119570871903153e-15,0,0,0,0.07965954218242492,0.01745329297130528,0.135402589308687,0.03053579755151459,0.01246214638825359,-7.414605222626512e-11,0,0,0,0.07965954218242494,-0.01745329297130528,166.0111500088046,0.135402589308687,0.03053579755151459,0.0124621463882536,0.179430000533771,7.414605230818711e-11,166.0111500088046,0,-0,0.179430000533771,1.119570871903153e-15,0,-0,1.119570871903153e-15
1.8497216923391e-05,0,4.018829341076052e-16,0,0,0,0.07965954245748411,0.01745329357804903,0.1354025899100356,0.03053579755489644,0.01246214638386692,-1.776586169697133e-10,0,0,0,0.07965954245748412,-0.01745329357804904,168.2388010827928,0.1354025899100356,0.03053579755489644,0.01246214638386692,0.1794300014083111,1.776586170413367e-10,168.2388010827928,0,-0,0.1794300014083111,4.018829341076052e-16,0,-0,4.018829341076052e-16
2.479414183348155e-05,0,-5.741317331278775e-16,0,0,0,0.07965954284644747,0.01745329445725657,0.135402590781011,0.03053579755986302,0.01246214637738133,-3.315498221847128e-10,0,0,0,0.07965954284644748,-0.01745329445725661,170.0730779360815,0.135402590781011,0.03053579755986302,0.01246214637738133,0.1794300024896749,3.315498221745923e-10,170.0730779360815,0,-0,0.1794300024896749,-5.741317331278775e-16,0,-0,-5.741317331278775e-16
3.10910667435721e-05,0,-3.731902595736205e-16,0,0,0,0.07965954334991217,0.01745329561985333,0.135402591932228,0.03053579756650904,0.01246214636864903,-5.397854804208576e-10,0,0,0,0.07965954334991218,-0.0174532956198534,171.5802354397696,0.135402591932228,0.03053579756650904,0.01246214636864903,0.1794300037113485,5.397854804061668e-10,171.5802354397696,0,-0,0.1794300037113485,-3.731902595736205e-16,0,-0,-3.731902595736205e-16
